k,Mean,Min,Max
1,50.88504797633648,45.65269461077844,60.95180722891566
2,46.64884207488637,41.00898203592814,54.94879518072289
3,44.252404828896424,39.82931726907631,54.41365461847388
4,43.48505789625568,39.07680722891566,52.70632530120482
5,43.14466272274727,39.059036144578315,51.21686746987952
6,42.87865413750812,38.08433734939759,52.355421686746986
7,42.73766013583848,37.44922547332186,51.689328743545616
8,42.27114385686458,36.213855421686745,50.806475903614455
9,42.360381646345864,36.47121820615797,51.54149933065597
10,42.08566770074309,36.37289156626506,50.562650602409626
11,42.09144361878653,36.92552026286966,50.79463307776562
12,42.12745593151047,36.719377510040154,50.13002008032128
13,42.158750894873826,36.68674698795181,50.35356811862837
14,42.19649092520639,37.18502581755594,50.646299483648875
15,42.06726041892119,36.80200803212852,49.83293172690763
16,42.126078565760054,36.44691265060241,50.00414156626506
17,42.10635957001659,36.52976612331679,49.484408221119764
18,42.03065355233308,36.09705488621152,49.17536813922356
19,42.060308552204404,36.72637920101459,48.796448953709564
20,42.040843012769635,36.57831325301205,48.860240963855425
21,41.99626684668529,36.53815261044176,48.73235800344234
22,42.039392900945096,36.38636363636364,49.028203723986856
23,42.08269448530911,36.67024620220011,49.28051335777893
24,41.97084535747781,36.81074297188756,48.84211847389558
25,42.03217964071856,36.70915662650602,49.02337349397591
26,42.109168225180774,36.71339202965709,49.11329935125115
27,42.1515785029673,36.75680499776885,49.34024988844266
28,42.14460266214558,36.561101549053355,49.202667814113596
29,42.131648833616524,36.886373078520975,49.05130868300789
30,42.192186350191186,36.80843373493976,49.02128514056225
